Year,Month,Author,Commits,New Committers
2015,8,Santiago Dueñas,731,1
2015,12,Alvaro del Castillo,47,2
2015,12,Jesus M. Gonzalez-Barahona,18, 
2016,2,Alberto Martín,51,1
2016,3,J. Manrique Lopez de la Fuente,1,2
2016,3,camillem,2, 
2016,4,quan,5,1
2016,9,Luis Cañas Díaz,1,1
2017,1,Stephan Barth,1,1
2017,9,Valerio Cosentino,263,2
2017,9,valerio cosentino,6, 
2017,10,David Esler,1,2
2017,10,valerio,2, 
2017,11,David Pose Fernández,1,1
2017,12,david,1,1
2018,1,Israel Herraiz,1,1
2018,2,Miguel Ángel Fernández,3,1
2018,3,anveshc05,1,1
